player,rating,ratingDeviation,volatility,gamesPlayed,confirmedTier,isAuthenticated,hasUsername,createdAt,lastActiveAt
p00001,906.6,215,0.05999870544191413,2,Pentagonal Prism,false,false,2026-02-23T00:53:37.830Z,2026-02-23T00:55:31.521Z
p00002,877.5,95.7,0.05999448528656919,16,Pentagonal Prism,false,false,2026-02-23T00:53:43.364Z,2026-02-23T03:50:26.546Z
p00003,1200,350,0.06,0,Pentagonal Prism,false,false,2026-02-23T01:13:56.534Z,2026-02-23T01:15:37.675Z
p00004,980.5,169.1,0.05999782819762644,4,Pentagonal Prism,false,false,2026-02-23T03:50:35.338Z,2026-03-03T19:25:19.393Z
p00005,1137.6,155.1,0.05999755713793136,5,Pentagonal Prism,false,false,2026-02-26T01:44:15.038Z,2026-02-26T02:03:31.887Z
p00006,807.5,78.3,0.06000120490675027,28,Tetrahedron,true,true,2026-02-26T02:03:27.411Z,2026-03-13T19:32:39.309Z
p00007,676.4,120,0.0600016411635808,10,Tetrahedron,true,true,2026-02-26T02:48:42.738Z,2026-03-15T21:58:02.195Z
p00008,1200,350,0.06,0,Pentagonal Prism,false,false,2026-02-26T03:06:46.017Z,2026-02-26T03:07:26.577Z
p00009,715.2,125.6,0.06000214736031505,9,Tetrahedron,false,false,2026-02-26T03:11:25.725Z,2026-02-26T04:27:56.722Z
p00010,1200,350,0.06,0,Pentagonal Prism,false,false,2026-02-26T03:25:15.539Z,2026-02-26T03:25:16.981Z
p00011,1200,350,0.06,0,Pentagonal Prism,false,false,2026-02-26T03:26:45.580Z,2026-02-26T03:26:45.580Z
p00012,1200,350,0.06,0,Pentagonal Prism,false,false,2026-02-26T05:05:18.095Z,2026-02-26T05:05:18.095Z
p00013,1025.7,259,0.05999931824080383,1,Pentagonal Prism,false,false,2026-02-26T05:56:41.771Z,2026-02-26T05:56:41.771Z
p00014,871.8,92.8,0.05999480181955458,17,Square Pyramid,false,false,2026-03-09T21:59:57.840Z,2026-03-09T21:59:57.840Z
