problem,rating,ratingDeviation,volatility,difficulty,answerType,source,sourceNumber,excluded,createdAt
q00001,939.3,123.7,0.05999907350740375,EASY,MULTIPLE_CHOICE,2000 AMC 8,1,false,2026-02-23T00:41:42.039Z
q00002,791,94.6,0.05999670968570885,EASY,MULTIPLE_CHOICE,2000 AMC 8,2,false,2026-02-23T00:41:42.203Z
q00003,926.9,118.6,0.06000152981115024,EASY,MULTIPLE_CHOICE,2000 AMC 8,3,false,2026-02-23T00:41:42.284Z
q00004,916.1,139.5,0.05999966122935563,EASY,MULTIPLE_CHOICE,2000 AMC 8,4,true,2026-02-23T00:41:42.365Z
q00005,881.7,132.3,0.05999935198572007,EASY,MULTIPLE_CHOICE,2000 AMC 8,5,false,2026-02-23T00:41:42.444Z
q00006,947.9,110.5,0.05999846632909762,EASY,MULTIPLE_CHOICE,2000 AMC 8,6,false,2026-02-23T00:41:42.529Z
q00007,859.7,111.1,0.05999832706095914,EASY,MULTIPLE_CHOICE,2000 AMC 8,7,false,2026-02-23T00:41:42.611Z
q00008,855.6,132.9,0.05999951588594666,EASY,MULTIPLE_CHOICE,2000 AMC 8,8,false,2026-02-23T00:41:42.690Z
q00009,1092.504627442428,150,0.06,MEDIUM,MULTIPLE_CHOICE,2000 AMC 8,9,false,2026-02-23T00:41:42.772Z
q00010,1113,127.2,0.05999917175415448,MEDIUM,MULTIPLE_CHOICE,2000 AMC 8,10,false,2026-02-23T00:41:42.853Z
q00011,1099.2,139.6,0.05999965586929459,MEDIUM,MULTIPLE_CHOICE,2000 AMC 8,11,false,2026-02-23T00:41:42.933Z
q00012,1229.7,121.7,0.0599988101222323,MEDIUM,MULTIPLE_CHOICE,2000 AMC 8,12,false,2026-02-23T00:41:43.014Z
q00013,1120.7,128.6,0.05999935661838065,MEDIUM,MULTIPLE_CHOICE,2000 AMC 8,13,false,2026-02-23T00:41:43.095Z
q00014,1159.3,127.4,0.05999923664094513,MEDIUM,MULTIPLE_CHOICE,2000 AMC 8,14,false,2026-02-23T00:41:43.177Z
q00015,1296.542530590268,150,0.06,MEDIUM,MULTIPLE_CHOICE,2000 AMC 8,15,false,2026-02-23T00:41:43.259Z
q00016,1158.6,116.6,0.05999912195770506,MEDIUM,MULTIPLE_CHOICE,2000 AMC 8,16,false,2026-02-23T00:41:43.338Z
q00017,1163,97.3,0.05999885973455159,MEDIUM,MULTIPLE_CHOICE,2000 AMC 8,17,false,2026-02-23T00:41:43.418Z
q00018,1456.642779430893,150,0.06,HARD,MULTIPLE_CHOICE,2000 AMC 8,18,false,2026-02-23T00:41:43.501Z
q00019,1336.4,92.2,0.05999833666449143,HARD,MULTIPLE_CHOICE,2000 AMC 8,19,false,2026-02-23T00:41:43.583Z
q00020,1563,108.5,0.05999842664146648,HARD,MULTIPLE_CHOICE,2000 AMC 8,20,false,2026-02-23T00:41:43.663Z
q00021,1555,124.2,0.05999904993690038,HARD,MULTIPLE_CHOICE,2000 AMC 8,21,false,2026-02-23T00:41:43.743Z
q00022,1549.7,105.5,0.05999850493582921,HARD,MULTIPLE_CHOICE,2000 AMC 8,22,false,2026-02-23T00:41:43.823Z
q00023,1551.8,103.4,0.05999755518413234,HARD,MULTIPLE_CHOICE,2000 AMC 8,23,false,2026-02-23T00:41:43.905Z
q00024,1726.8,107.7,0.05999816593222505,HARD,MULTIPLE_CHOICE,2000 AMC 8,24,false,2026-02-23T00:41:43.990Z
q00025,1597.9,93.6,0.05999736583541664,HARD,MULTIPLE_CHOICE,2000 AMC 8,25,false,2026-02-23T00:41:44.078Z
q00026,772.1,100.9,0.05999677528944277,EASY,MULTIPLE_CHOICE,2001 AMC 8,1,true,2026-02-23T00:41:49.207Z
q00027,874.4,124.9,0.05999912050774091,EASY,MULTIPLE_CHOICE,2001 AMC 8,2,false,2026-02-23T00:41:49.285Z
q00028,984.7,108.2,0.05999846576789229,EASY,MULTIPLE_CHOICE,2001 AMC 8,3,false,2026-02-23T00:41:49.366Z
q00029,814.3,114.9,0.06000513586144141,EASY,MULTIPLE_CHOICE,2001 AMC 8,4,false,2026-02-23T00:41:49.451Z
q00030,881.4,130.6,0.05999927385507664,EASY,MULTIPLE_CHOICE,2001 AMC 8,5,false,2026-02-23T00:41:49.528Z
q00031,937.6,116.7,0.05999885118438162,EASY,MULTIPLE_CHOICE,2001 AMC 8,6,false,2026-02-23T00:41:49.605Z
q00032,896.5824667660498,150,0.06,EASY,MULTIPLE_CHOICE,2001 AMC 8,7,false,2026-02-23T00:41:49.685Z
q00033,939.9,132.6,0.05999943097239794,EASY,MULTIPLE_CHOICE,2001 AMC 8,8,false,2026-02-23T00:41:49.763Z
q00034,1050.3,140.5,0.05999972432367218,EASY,MULTIPLE_CHOICE,2002 AMC 10A,1,false,2026-02-23T00:41:49.787Z
q00035,1120.666840850686,150,0.06,MEDIUM,MULTIPLE_CHOICE,2001 AMC 8,9,false,2026-02-23T00:41:49.851Z
q00036,1085,139.1,0.05999963236934659,MEDIUM,MULTIPLE_CHOICE,2001 AMC 8,10,false,2026-02-23T00:41:49.928Z
q00037,1119.1,134.8,0.05999957570107919,EASY,MULTIPLE_CHOICE,2002 AMC 10A,2,false,2026-02-23T00:41:49.955Z
q00038,1096.1,147.1,0.06000926054776515,MEDIUM,MULTIPLE_CHOICE,2001 AMC 8,11,false,2026-02-23T00:41:50.008Z
q00039,1097.9,127.5,0.05999943374855088,EASY,MULTIPLE_CHOICE,2002 AMC 10A,3,false,2026-02-23T00:41:50.039Z
q00040,1143.4,129,0.05999929346258962,MEDIUM,MULTIPLE_CHOICE,2001 AMC 8,12,false,2026-02-23T00:41:50.085Z
q00041,994.6,134.4,0.05999963220912456,EASY,MULTIPLE_CHOICE,2002 AMC 10A,4,false,2026-02-23T00:41:50.121Z
q00042,1133.6,132.2,0.05999938570542269,MEDIUM,MULTIPLE_CHOICE,2001 AMC 8,13,false,2026-02-23T00:41:50.167Z
q00043,1116.224935841125,150,0.06,EASY,MULTIPLE_CHOICE,2002 AMC 10A,5,false,2026-02-23T00:41:50.212Z
q00044,1161.9,127.7,0.05999910467544717,MEDIUM,MULTIPLE_CHOICE,2001 AMC 8,14,false,2026-02-23T00:41:50.247Z
q00045,974.6,108.2,0.05999838704876717,EASY,MULTIPLE_CHOICE,2002 AMC 10A,6,false,2026-02-23T00:41:50.295Z
q00046,1297.037210454308,150,0.06,MEDIUM,MULTIPLE_CHOICE,2001 AMC 8,15,false,2026-02-23T00:41:50.329Z
q00047,1263.2,119.1,0.05999883157129655,EASY,MULTIPLE_CHOICE,2002 AMC 10A,7,false,2026-02-23T00:41:50.375Z
q00048,1327.8,142.2,0.05999907412958836,MEDIUM,MULTIPLE_CHOICE,2001 AMC 8,16,false,2026-02-23T00:41:50.405Z
q00049,1274.8,139.5,0.05999960655710856,EASY,MULTIPLE_CHOICE,2002 AMC 10A,8,false,2026-02-23T00:41:50.456Z
q00050,1234.2,119.3,0.05999801498537782,MEDIUM,MULTIPLE_CHOICE,2001 AMC 8,17,false,2026-02-23T00:41:50.490Z
q00051,1291.1,130.9,0.0599987674754636,MEDIUM,MULTIPLE_CHOICE,2002 AMC 10A,9,false,2026-02-23T00:41:50.548Z
q00052,1328.6,120,0.05999886817471202,HARD,MULTIPLE_CHOICE,2001 AMC 8,18,false,2026-02-23T00:41:50.567Z
q00053,1136.4,115.2,0.05999841003832595,MEDIUM,MULTIPLE_CHOICE,2002 AMC 10A,10,false,2026-02-23T00:41:50.626Z
q00054,1512.9,139.7,0.05999961743927762,HARD,MULTIPLE_CHOICE,2001 AMC 8,19,true,2026-02-23T00:41:50.648Z
q00055,1546.4,119.8,0.05999878445095058,MEDIUM,MULTIPLE_CHOICE,2002 AMC 10A,11,false,2026-02-23T00:41:50.713Z
